Squad,Poss_for,Poss_vs,PrgP_for,PrgP_vs,Sh_for,Sh_vs,xG_for,xG_vs,TklAtt3rd_for,TklAtt3rd_vs,Sh/90_for,SoT/90_for,PrgC_for,KP_for,SCA90_for,GCA90_for,Tkl+Int_for,SCA90_vs,Sh/90_vs
Arsenal,50.9,49.1,535,391,179,142,27,13.5,41,39,12.79,5.43,255,137,22.86,3.71,309,18.43,10.14
Aston Villa,47.3,52.8,397,383,152,154,18.8,13.9,31,34,12.67,5.08,173,118,23.08,3.25,269,22.92,12.83
Atalanta,53.3,46.7,517,240,171,83,24.5,10.9,29,8,17.1,6.1,278,138,30.9,4.1,202,15.1,8.3
Atletico Madrid,47.4,52.6,419,443,123,106,14.5,13,27,22,11.9,4.65,210,100,21.48,3.77,292,18.87,10.26
Barcelona,61.3,38.7,744,412,221,151,32.2,21.2,46,31,15.42,6.49,290,161,27.28,4.6,315,18.98,10.53
Bayern Munich,64.7,35.3,892,253,282,120,33.6,14.4,57,25,20.14,7.21,376,216,36.29,3.79,353,14.93,8.57
Benfica,44.7,55.3,390,525,167,162,23.6,15.6,27,36,13.92,5.33,207,123,25,2.92,395,24,13.5
Bologna,49.3,50.8,269,219,94,79,8.1,9.9,21,17,11.75,3.38,131,64,20.25,0.75,232,17.62,9.87
Brest,41.8,58.2,270,519,131,130,11.4,18.3,38,29,13.1,3.8,135,94,22.6,1.6,297,23.9,13
Celtic,50.9,49.1,337,406,94,138,14.5,16.3,37,23,9.4,3.7,147,75,17.2,2.5,298,24.5,13.8
Club Brugge,43.8,56.2,351,585,121,145,11.5,16.4,21,27,10.08,3.58,143,98,18.42,1.5,292,22.42,12.08
Dinamo Zagreb,37.9,62.1,186,468,75,119,7,16.4,15,24,9.37,3,120,59,16.75,2.87,245,26.5,14.87
Borussia Dortmund,52,48,560,453,191,167,27.8,19.1,44,37,13.64,5.36,259,152,25.79,4.07,399,20.5,11.93
Feyenoord,42.5,57.5,377,570,121,175,13.3,20.4,23,28,10.08,3.67,184,96,17.33,2.83,296,26.17,14.58
Girona,50.9,49.1,284,289,77,117,9.6,12.6,14,18,9.62,3.5,133,65,18.37,1.13,195,27.75,14.63
Inter Milan,47,53,488,725,175,236,24.3,20.2,26,34,11.41,3.72,227,126,20.67,2.87,346,27.26,15.39
Juventus,51.1,48.9,401,411,115,148,11.8,17.2,21,33,11.13,3.58,217,85,19.55,1.84,251,25.45,14.32
Bayer Leverkusen,56.3,43.7,430,307,151,119,15.1,13,20,19,15.1,5.5,186,116,25.8,2.2,229,21.3,11.9
Lille,48.4,51.6,346,387,93,116,11.5,16.8,29,28,9.3,3.6,164,66,16.7,3,229,21.1,11.6
Liverpool,51,49,469,346,143,129,20.7,11.3,28,25,13.84,5.52,197,104,24.19,3.19,244,21.97,12.48
Manchester City,63.4,36.6,608,211,167,121,21,16.1,38,12,16.7,6.2,315,130,30,3.3,173,21.4,12.1
AC Milan,53,47,472,357,149,125,13.8,13.8,24,28,14.9,5.9,244,111,26.6,2.5,229,21.5,12.5
Monaco,51.1,48.9,360,403,118,117,13.3,16.9,14,26,11.8,4.3,170,91,21,2.8,297,21.2,11.7
PSG,61.4,38.6,865,485,319,172,35.6,18.2,51,52,18.4,6.63,492,258,33.4,3.52,481,17.08,9.92
PSV Eindhoven,54.8,45.2,571,431,206,160,19.3,20.6,33,23,16.7,6.16,225,161,30.08,3.08,372,22.3,12.97
RB Leipzig,47.5,52.5,247,330,102,128,12.3,12.7,31,14,12.75,4.5,96,72,20.5,1.5,209,28.62,16
RB Salzburg,45.1,54.9,283,377,74,125,6.6,19.4,20,31,9.25,2.75,176,56,16.37,1.13,242,26.5,15.62
Real Madrid,53.1,46.9,600,536,209,180,28,22.9,46,50,14.58,5.79,317,168,26.23,3.21,375,23.44,12.56
Red Star Belagrade,44.6,55.4,283,405,93,126,9.3,14.9,10,25,11.62,3.75,144,64,19.5,2.87,206,29,15.75
Shakhtar Donetsk,44.9,55.1,195,392,74,141,8.3,15.5,17,28,9.25,2.5,103,53,15.5,1.5,213,31.25,17.62
Slovan Bratislava,37.5,62.5,197,572,61,160,7,21.6,11,37,7.62,2.25,95,45,13.37,1.5,230,36.37,20
Sparta Prague,33.9,66.1,184,440,75,151,6.3,13.3,17,18,9.37,2.62,81,50,15.5,1.13,194,32.75,18.87
Sporting CP,49.1,50.9,340,396,122,127,12.8,17.9,16,31,12.2,4.1,183,96,22.2,2.3,257,22.1,12.7
Sturm Graz,37.5,62.5,186,413,67,130,6.2,16.2,16,32,8.37,3,74,49,14.5,0.75,233,28.75,16.25
Stuttgart,58.9,41.1,396,249,138,85,14.1,11.1,21,11,17.25,5.37,141,109,30.62,2.87,213,18.62,10.62
Young Boys,41.8,58.3,221,341,81,147,5.6,19.1,16,21,10.13,2.25,111,53,17.37,0.37,205,31.12,18.37
